acc_x,acc_y,acc_z
-600,351,794
-466,331,685
-378,296,634
-388,217,712
-490,172,829
-541,166,900
-425,185,972
-350,215,1032
-307,262,1034
-365,344,1173
-373,476,1211
-144,507,905
137,460,642
39,442,692
-193,438,868
-198,392,833
-102,331,732
-34,282,651
-18,255,646
-119,258,769
-246,303,947
-198,346,1033
-117,411,1124
-17,445,1090
26,455,1042
40,461,972
19,466,961
-10,451,1023
67,395,991
80,377,1021
67,390,1110
80,360,1164
141,335,1314
243,217,1308
315,88,1185
334,71,828
294,76,564
245,-56,566
206,-222,662
227,-268,932
259,-269,1010
299,-257,970
289,-230,863
238,-212,801
219,-203,815
170,-242,937
138,-296,1060
139,-340,1094
140,-377,1108
123,-399,1140
90,-413,1129
81,-433,1062
78,-459,1005
61,-472,979
72,-476,942
65,-479,915
39,-453,879
-44,-473,815
-142,-468,819
-130,-435,795
-135,-402,767
-211,-366,752
-259,-327,781
-321,-260,832
-440,-203,891
-437,-201,877
-513,-178,882
-521,-170,870
-513,-204,772
-549,-174,720
-591,-171,764
-626,-175,850
-624,-145,820
-595,-128,685
-591,-96,649
-595,-52,712
-609,-46,736
-658,-48,762
-663,-65,726
-646,-94,629
-672,-91,705
-637,-75,617
-592,-62,625
-579,-36,695
-539,0,714
-566,-18,707
-591,3,812
-575,44,916
-560,64,900
-569,97,829
-496,212,816
-404,254,781
-415,244,845
-466,195,944
-475,236,938
-387,324,802
-310,342,715
-286,280,729
-382,287,904
-428,367,992
-364,447,882
-272,463,750
-207,441,700
-207,334,815
-365,333,1072
-353,412,1044
-263,477,890
-171,486,768
-169,442,796
-298,413,995
-323,449,1030
-229,503,887
-173,528,815
-167,514,831
-134,496,835
-198,517,815
-195,544,886
-208,554,896
-193,566,867
-151,549,839
-126,539,818
-138,527,845
-177,531,890
-187,527,896
-171,499,895
-190,489,937
-209,482,993
-145,481,821
-133,506,731
-178,508,834
-229,442,943
-234,383,998
-205,334,979
-176,331,921
-186,314,820
-163,284,818
-173,228,899
-191,189,986
-218,224,1054
-245,267,1017
-167,245,932
-148,154,842
-193,84,834
-208,64,834
-220,19,911
-232,-26,971
-237,-38,986
-225,-60,1018
-230,-129,976
-249,-158,1005
-239,-163,954
-248,-195,905
-247,-152,1045
-238,-210,906
-249,-233,906
-263,-307,870
-272,-303,905
-290,-311,916
-306,-362,865
-310,-370,859
-313,-401,798
-308,-423,788
-309,-424,779
-320,-471,787
-316,-481,811
-305,-473,817
-307,-431,844
-309,-395,868
-313,-401,863
-326,-407,878
-308,-408,874
-300,-362,890
-273,-279,873
-346,-209,878
-360,-244,941
-333,-261,878
-375,-204,902
-407,-134,901
-416,-109,804
-427,-96,729
-414,-43,830
-424,-12,874
-447,20,850
-423,49,860
-424,80,854
-485,110,860
-562,165,827
-579,207,789
-620,222,775
-603,230,807
-607,244,784
-652,281,782
-662,271,731
-628,269,702
-589,267,714
-593,284,705
-591,256,690
