acc_x,acc_y,acc_z
-160,-1015,1332
-95,-590,1049
-139,-332,929
-187,4,1162
-275,438,1409
-386,399,729
-393,-81,613
-156,-378,823
-73,-742,936
-199,-907,886
-170,-788,938
-21,-472,1021
-30,-244,1001
-40,-149,1101
-209,244,1474
-359,562,1495
-384,225,1105
-198,-340,1004
-119,-919,1089
-110,-1197,909
-102,-835,946
-138,-523,661
-119,-453,727
-158,-615,816
-216,-575,1138
-315,-407,1279
-353,-390,1142
-298,-626,1052
-262,-614,839
-331,-158,473
-338,-14,-14
-283,-194,79
-205,-556,563
-185,-698,1048
-207,-650,1412
-209,-628,1232
-227,-586,1115
-174,-672,1144
-175,-720,790
-133,-420,1605
-130,-214,1662
-55,-114,1436
-55,-44,1333
-129,-192,846
-277,-347,618
-348,-225,846
-464,-160,761
-594,-12,163
-499,240,324
-296,335,491
-71,506,1285
-75,263,1636
-142,118,1446
-237,-117,984
-215,-208,2275
-387,-471,1693
-150,119,1354
41,668,1184
-7,841,1210
-26,765,1066
-156,388,786
-283,-166,189
-270,-517,880
-427,-534,926
-360,-245,258
-239,-45,173
41,230,566
335,563,1127
555,641,1886
583,546,1983
803,411,1347
675,-63,734
479,-427,963
336,-498,1733
331,-243,1886
448,-33,1690
658,189,1574
793,244,1610
785,176,1741
745,208,1749
613,174,1542
400,0,1188
263,-20,644
-47,3,21
-208,88,-444
-279,-21,-331
-170,-51,267
19,125,930
103,394,892
91,844,814
319,1076,1899
-138,422,2090
-221,38,1578
-216,20,1355
-58,183,979
32,343,1031
58,323,1420
193,466,1889
427,738,1826
519,743,1323
273,500,1144
-33,-100,303
-54,-518,350
-44,-600,147
0,-657,280
16,-822,278
29,-694,349
86,-445,430
139,-157,614
338,-7,993
645,-61,1550
750,-264,2089
561,-468,2066
380,-672,1650
52,-606,575
293,169,1937
269,466,1493
220,713,1312
224,1088,1414
131,1022,1268
89,808,698
-229,228,-647
-401,-32,-205
-469,-3,-190
-333,303,-167
-20,572,436
292,901,1379
331,1038,2021
260,849,2206
192,238,2469
-26,-394,1645
26,-164,1387
67,242,1247
197,438,1489
278,425,1920
340,448,1899
254,392,1473
160,226,889
-155,-58,237
-300,-394,282
-320,-438,286
-301,-378,32
-180,-95,5
-80,149,441
191,356,1107
370,597,1786
326,335,2499
150,-454,1827
95,-760,1685
124,-153,1741
198,390,1450
229,653,1559
214,710,1392
126,440,953
-98,477,812
-338,195,200
-411,126,-220
-190,269,371
73,132,736
91,222,1128
273,331,2016
17,-277,2507
24,-453,2128
241,175,1438
229,512,1261
118,595,1467
-82,637,1409
-53,881,1235
-166,302,-246
-222,101,-805
11,161,382
135,9,1276
142,89,2392
-129,-103,2725
56,-50,1762
139,416,1166
59,497,1058
-43,306,1001
-133,200,1186
-144,41,1042
-115,-110,211
2,-214,-454
131,-320,-73
137,-256,630
186,22,1816
5,-239,2852
134,-49,2194
241,445,1355
161,534,1102
88,589,781
102,446,278
126,72,-358
191,-387,-263
145,-520,61
174,-163,431
239,516,1617
48,552,2748
20,652,2273
100,996,1670
132,799,1646
136,317,1151
97,-140,370
5,-549,-456
-125,-721,-537
-101,-394,139
5,164,899
-44,446,1760
-200,96,2017
-166,-20,1900
-119,200,1494
-69,223,1331
-59,193,1552
-161,405,1413
-226,377,738
-286,265,33
-351,52,-1228
-96,571,-722
46,774,662
193,950,2159
-76,211,3355
-62,-327,2704
54,836,1358
-55,1161,414
-122,778,672
-36,271,894
-116,284,811
-209,524,-99
-54,353,-741
35,126,1078
-97,-684,2007
-130,-364,1894
-108,8,2130
-15,381,1910
-2,594,1332
-9,538,1163
-142,357,1077
-146,332,670
-219,62,-465
-139,61,-744
28,277,819
40,147,2129
-130,-365,2590
-74,-231,2489
19,573,1617
33,910,969
-72,549,827
-291,45,449
-322,-345,-320
-275,17,-509
-111,404,180
-80,45,904
-83,-227,1447
-63,-364,2131
-157,-724,2315
-71,-126,1796
-100,517,1115
-92,322,1169
-191,-67,1440
-303,-42,838
-348,271,-292
-160,531,-699
53,874,396
87,613,1892
69,225,2643
-65,-644,2374
-91,-248,2104
-58,612,1110
1,814,858
-26,436,1305
-177,174,1424
-385,272,322
-176,303,-951
70,775,-117
58,447,1680
-10,-177,2125
-28,-359,2185
-54,-531,1695
11,51,1328
-3,284,1034
-3,23,1257
-84,-134,1600
-185,-86,1186
-289,177,432
-172,542,-234
21,407,-107
79,257,995
-5,-73,2012
-72,-615,2182
-71,-565,1938
-20,-71,1432
8,291,1085
28,94,1310
-91,-114,1467
-182,-250,981
-294,-17,368
-280,628,123
-9,642,372
97,-163,660
87,-447,1234
-14,-720,2463
-79,-866,2646
154,-134,1621
30,409,1334
-44,176,1247
-291,-262,746
-364,-200,249
-367,448,-4
-51,566,-69
86,244,369
41,119,1623
-54,-693,2903
23,-1163,2744
119,-86,1980
71,739,879
-31,601,970
-322,210,970
-315,369,191
-126,630,-408
212,518,759
23,-677,1661
-65,-1120,2049
19,-702,2169
77,58,1475
99,429,1138
-72,79,1234
-208,-75,1184
-351,-56,572
-110,247,-335
68,262,-227
30,-180,775
-46,-953,2056
-50,-1058,2413
82,-461,1355
53,-41,988
-71,-63,1161
-310,49,1175
-261,601,548
9,411,-214
78,-188,427
-68,-581,1541
-29,-472,2167
-2,-428,1937
41,-151,1309
24,75,1141
17,37,1267
-73,-85,1279
-162,0,1072
-257,606,714
-124,611,51
24,-64,106
-8,-169,1041
-9,-98,1823
25,-324,1953
-26,-401,1848
72,-34,1458
71,162,1170
38,91,1250
-42,-1,1080
-151,-80,615
-306,251,484
-233,574,676
-50,-79,610
19,-704,733
-25,-682,1105
94,-498,1562
73,-547,2171
112,-309,1858
110,176,1341
-36,75,1256
-111,-94,942
-298,-5,329
-352,424,-25
-98,378,54
17,99,623
35,55,1494
23,-305,2131
33,-792,2065
78,-354,1727
5,207,1094
-8,322,992
-10,20,1052
-45,-313,1057
-203,-232,861
-306,228,655
-165,340,525
-43,-160,487
-101,-115,571
-50,326,1200
-3,193,1952
-34,-294,2167
12,-29,1808
-18,506,1070
-101,501,925
-29,343,1020
-32,148,1069
-164,206,825
-232,496,509
-183,415,456
-70,-107,703
-52,-178,953
-70,-85,1206
-64,-297,1596
62,-274,2088
119,155,1764
97,307,1292
37,326,1370
-139,155,836
-245,20,208
-404,376,159
-143,445,541
49,-161,780
43,-287,1101
54,-48,1763
62,-298,1973
58,-343,2047
81,23,1493
26,266,1118
50,195,1074
-3,-46,1093
-159,-78,863
-281,319,465
-239,454,404
-69,37,658
-21,-223,911
-8,-83,1181
3,-144,1523
43,-374,1960
55,-265,2141
221,339,1505
64,443,919
-71,293,854
-302,-191,481
-363,-105,330
-346,481,416
-14,129,661
8,-466,847
-33,-398,1170
42,-315,1655
81,-474,2132
71,-279,1944
68,117,1230
70,133,1197
-31,6,1170
-249,-62,930
-217,340,311
-205,547,154
15,173,598
27,-215,1199
64,-252,1599
47,-386,1658
84,-344,1828
61,-32,1653
78,274,1034
71,249,929
-48,57,1091
-68,-164,957
-233,-92,675
-290,219,534
-126,119,575
-64,-249,666
-41,-238,840
10,-48,1145
63,-87,1575
94,-250,1631
127,-242,1476
126,-124,1191
78,18,1163
-11,89,1149
-66,181,1054
-102,290,792
-77,239,531
-19,0,519
-14,-43,712
30,-9,896
145,-84,1266
166,-252,1748
179,-371,1835
148,-194,1592
89,-10,1411
-14,200,1073
-191,528,531
-176,542,63
18,98,338
83,-156,1021
79,-71,1392
120,-115,1760
92,-223,1822
135,-49,1448
122,114,1147
98,225,1177
30,268,1221
-33,439,1113
-171,541,470
-132,213,175
-20,-58,522
23,-66,925
58,-56,1178
101,-249,1688
144,-249,2011
196,4,1590
165,250,1401
6,491,1398
-18,599,935
-219,512,250
-151,240,-4
-24,-123,477
-8,-316,955
63,-329,1281
130,-316,1753
114,-197,1795
134,-98,1495
116,21,1327
7,219,1301
-104,433,991
-187,440,381
-107,167,76
-5,2,649
26,-4,1174
36,69,1349
71,-81,1473
91,-204,1627
56,-91,1505
124,21,1249
118,144,1368
29,300,1368
-83,316,1006
-170,290,465
-169,432,222
-71,258,294
38,-11,759
90,-101,1180
134,-311,1593
160,-587,2067
162,-416,1963
224,-54,1497
133,161,1339
