acc_x,acc_y,acc_z,prediction
79,-99,1001,0.000000
59,-86,995,0.000000
47,-103,1034,0.000000
24,-112,1058,0.000000
34,-87,1068,0.000000
38,-78,1036,0.000000
49,-62,983,0.000000
53,-23,991,0.000000
55,-27,1057,0.000000
25,-57,1086,0.000000
10,-84,1100,0.000000
19,-73,1091,0.000000
36,-74,1052,0.000000
28,-96,1016,0.000000
64,-96,1036,0.000000
67,-112,1030,0.000000
67,-126,1006,0.000000
66,-158,993,0.000000
72,-163,997,0.000000
104,-151,1021,0.000000
132,-137,1064,0.000000
128,-135,1059,0.000000
24,-239,967,0.000000
86,-225,972,0.000000
172,-167,990,0.000000
202,-197,971,0.000000
208,-232,931,0.000000
223,-242,912,0.000000
240,-270,880,0.000000
270,-267,864,0.004217
297,-277,885,0.000000
306,-272,877,0.000000
320,-249,861,0.000000
329,-240,844,0.000000
334,-240,848,0.000000
345,-230,853,0.000000
363,-172,870,0.000000
355,-172,868,0.000000
349,-126,851,0.000000
338,-105,848,0.000000
358,-62,920,0.000000
343,-29,1013,0.000000
266,-98,926,0.000000
238,-129,808,0.000000
328,-60,893,0.000000
335,66,1029,0.000000
214,-13,1001,0.000000
205,-78,978,0.000000
162,-166,970,0.000000
131,-167,1025,0.000000
154,-104,1083,0.000000
149,-120,1024,0.000000
124,-213,937,0.000000
102,-244,911,0.000000
105,-225,960,0.000000
87,-185,1064,0.004217
86,-206,1044,0.000000
71,-249,960,0.000000
68,-247,933,0.000000
66,-224,943,0.000000
77,-205,984,0.004217
53,-241,952,0.000000
47,-242,947,0.000000
61,-208,946,0.000000
45,-176,949,0.000000
35,-162,962,0.000000
33,-148,941,0.000000
62,-158,938,0.000000
35,-109,963,0.000000
2,-43,984,0.000000
16,-50,940,0.000000
38,-48,944,0.000000
76,15,1046,0.000000
82,71,1074,0.000000
58,102,1010,0.000000
61,150,996,0.000000
66,173,1023,0.029518
101,212,1051,0.029518
92,241,1031,0.000000
105,231,1036,0.000000
103,244,1014,0.000000
106,253,1000,0.012650
157,295,999,0.000000
209,301,1038,0.000000
225,235,1216,0.000000
187,6,1683,0.000000
129,20,1863,0.004217
106,452,1451,0.177107
97,509,929,0.742161
241,368,137,0.877099
306,381,127,0.716860
123,417,1340,0.257226
-94,-109,2866,0.134938
-123,-174,2880,0.885533
97,526,1084,0.535536
507,616,-135,0.657824
393,222,-45,0.927701
222,57,705,0.472284
121,99,1450,0.101204
6,-33,1715,0.366863
81,87,1253,0.358430
240,231,770,0.687342
231,163,680,0.371080
207,94,845,0.809630
213,146,992,0.594572
201,161,1009,0.476501
175,157,962,0.004217
176,159,908,0.181323
166,162,859,0.307828
185,191,881,0.670475
198,230,952,0.864448
149,232,975,0.341563
139,231,990,0.615656
128,247,997,0.000000
142,272,1036,0.337346
138,276,1015,0.080120
136,287,974,0.506019
141,303,929,0.307828
155,325,900,0.662041
155,355,903,0.877099
166,370,928,0.670475
157,377,923,0.000000
165,402,891,0.877099
174,403,888,0.565054
173,406,905,0.902400
158,422,919,0.666258
172,447,936,0.683125
170,464,909,0.788546
179,462,873,0.413249
184,453,829,0.759028
173,476,811,0.446983
192,500,848,0.712643
184,495,862,0.556620
187,489,849,0.000000
194,527,855,0.126505
199,556,838,0.050602
207,558,808,0.670475
243,586,809,0.691559
273,638,776,0.193974
300,651,710,0.826497
267,601,577,0.248792
255,533,621,0.000000
298,556,669,0.244576
280,463,1050,0.000000
211,294,1683,0.000000
132,508,1979,0.000000
125,964,1852,0.008434
210,1420,1090,0.860232
466,1265,-1110,0.830714
657,693,-1603,0.995170
323,323,-30,0.662041
81,859,1279,0.813847
-115,557,3139,0.409032
-186,464,2880,0.598789
320,1149,602,0.830714
452,667,-431,0.759028
342,273,257,0.771678
253,303,1011,0.000000
107,160,1532,0.012650
66,146,1483,0.565054
177,325,988,0.733727
216,313,719,0.712643
201,238,842,1.075290
201,294,933,0.518669
201,324,931,0.299394
201,310,915,0.375297
214,286,916,0.354213
217,258,907,0.463850
238,210,923,0.936134
218,181,940,0.683125
239,201,999,0.683125
217,154,1052,0.712643
207,152,1071,1.075290
190,161,1013,0.792763
185,158,967,1.075290
172,137,937,1.075290
158,78,976,0.784329
193,71,1008,0.619873
215,71,961,0.565054
224,49,919,0.826497
212,-33,881,0.839148
214,-76,888,1.075290
218,-112,911,1.075290
254,-65,939,1.075290
279,-43,964,0.830714
288,-50,940,0.775895
248,-91,894,0.704209
260,-127,902,0.594572
280,-105,922,0.961435
308,-34,913,0.805413
357,37,973,0.303611
371,23,988,0.480718
364,32,983,1.075290
389,81,954,0.986736
415,123,931,0.847581
430,155,921,0.885533
425,146,895,0.759028
410,141,861,0.657824
425,168,852,0.012650
444,184,855,0.796979
438,200,845,0.000000
436,228,840,0.590355
444,248,840,0.501802
428,265,823,0.286744
435,264,818,0.016867
450,291,840,0.000000
471,245,869,0.000000
451,235,884,0.000000
441,231,970,0.000000
444,194,1098,0.000000
392,204,1092,0.033735
369,194,1086,0.016867
361,89,1179,0.160239
369,71,1023,0.172890
374,251,422,0.303611
179,501,-637,0.834931
394,994,-838,0.881316
368,1834,-102,0.885533
-103,1570,1953,0.834931
115,221,3977,0.805413
-109,719,2961,0.893966
362,1825,298,0.898183
544,1335,-1454,0.725293
170,505,-898,0.822280
183,486,879,0.303611
132,290,2216,0.640957
114,408,2026,0.480718
213,678,982,0.337346
180,499,421,0.278310
243,473,565,0.931918
232,500,703,0.687342
234,510,816,0.573488
179,462,840,0.075903
142,411,968,0.662041
152,405,1071,1.037338
184,430,1004,0.792763
220,435,867,1.075290
240,406,841,0.607222
210,311,903,0.387948
214,282,996,0.695776
224,266,1030,0.944568
235,252,975,1.075290
247,263,848,1.020471
210,199,782,1.075290
188,126,815,0.767462
225,107,931,0.860232
246,91,1064,0.788546
241,94,1044,0.695776
234,110,969,0.556620
197,26,940,1.075290
209,-23,969,0.446983
234,-28,991,0.438549
244,-48,1003,0.476501
234,-89,1009,0.320478
234,-120,998,0.160239
172,-190,945,0.982520
209,-181,958,0.839148
244,-152,985,1.075290
243,-137,996,1.075290
265,-125,1013,0.834931
264,-171,1007,1.075290
244,-207,965,0.851798
264,-206,981,0.780112
